FamilyID,MonthsInFII,TotalIncome,Mean,STD
1840,2,2200.0,3152.0,4814.0
1841,2,2240.0,3152.0,4814.0
1842,1,1095.0,3152.0,4814.0
1843,1,1564.0,3152.0,4814.0
1844,1,1060.0,3152.0,4814.0
1845,1,850.0,3152.0,4814.0
1846,2,1600.0,3152.0,4814.0
1847,2,1000.0,3152.0,4814.0
1849,1,1750.0,3152.0,4814.0
1852,3,3800.0,3152.0,4814.0
1854,1,5000.0,3152.0,4814.0
1855,5,700.0,3152.0,4814.0
1856,1,2800.0,3152.0,4814.0
1857,1,4500.0,3152.0,4814.0
1858,1,577.0,3152.0,4814.0
1859,1,692.0,3152.0,4814.0
1860,1,3200.0,3152.0,4814.0
1861,1,402.0,3152.0,4814.0
1862,1,2236.0,3152.0,4814.0
1863,1,1405.0,3152.0,4814.0
1864,1,nan,3152.0,4814.0
1866,2,733.0,3152.0,4814.0
1867,1,1218.0,3152.0,4814.0
1868,1,788.0,3152.0,4814.0
1869,1,3850.0,3152.0,4814.0
1870,1,3500.0,3152.0,4814.0
1872,1,6412.0,3152.0,4814.0
1873,1,4325.0,3152.0,4814.0
1874,1,7917.0,3152.0,4814.0
1875,1,649.0,3152.0,4814.0
